head_forward_x,head_forward_y,neck_angle,spine_tilt,shoulder_hip_distance,shoulder_forward_offset,hip_tilt,trunk_to_hip_angle,torso_lean_x,torso_lean_y,com_shift_x,label,timestamp
-0.278,-0.339,0.037,-1.502,1.000,0.068,-2.328,0.582,0.068,-0.989,0.034,neutral,1758905222219
-0.277,-0.320,0.047,-1.534,1.000,0.036,-2.400,0.629,0.036,-0.988,0.018,neutral,1758905222884
-0.193,-0.337,0.153,-1.570,1.000,0.001,-2.431,0.693,0.001,-0.988,0.001,neutral,1758905235613
-0.192,-0.338,0.272,-1.575,1.000,-0.004,-2.627,0.872,-0.004,-0.988,-0.002,neutral,1758905236521
-0.121,-0.407,0.855,-1.549,1.000,0.021,-2.884,1.159,0.021,-0.990,0.011,neutral,1758905238170
-0.129,-0.451,0.934,-1.550,1.000,0.020,-2.830,1.081,0.020,-0.965,0.010,neutral,1758905238870
-0.156,-0.414,0.884,-1.600,1.000,-0.029,-2.953,1.139,-0.029,-0.989,-0.014,neutral,1758905240430
-0.133,-0.433,1.040,-1.641,1.000,-0.068,-2.924,1.097,-0.068,-0.975,-0.034,neutral,1758905241122
-0.130,-0.458,1.084,-1.631,1.000,-0.058,-2.980,1.134,-0.058,-0.968,-0.029,neutral,1758905242446
-0.116,-0.482,1.094,-1.607,1.000,-0.035,-2.962,1.140,-0.035,-0.978,-0.018,neutral,1758905243070
-0.094,-0.504,1.292,-1.630,1.000,-0.057,-3.003,1.173,-0.057,-0.952,-0.028,neutral,1758905244220
-0.097,-0.478,1.274,-1.668,1.000,-0.094,-3.013,1.147,-0.094,-0.965,-0.047,neutral,1758905244787
-0.055,-0.510,1.399,-1.557,1.000,0.013,-3.012,1.243,0.013,-0.952,0.007,neutral,1758905245971
-0.093,-0.483,1.351,-1.587,1.000,-0.015,-3.011,1.200,-0.015,-0.940,-0.007,neutral,1758905246499
-0.082,-0.525,1.413,-1.545,1.000,0.025,-3.085,1.297,0.025,-0.948,0.012,neutral,1758905247739
-0.065,-0.502,1.412,-1.554,1.000,0.016,-3.112,1.341,0.016,-0.957,0.008,neutral,1758905248263
-0.009,-0.518,1.477,-1.543,1.000,0.027,-3.096,1.358,0.027,-0.967,0.014,neutral,1758905249163
-0.041,-0.519,1.461,-1.566,1.000,0.005,-3.102,1.329,0.005,-0.973,0.003,neutral,1758905249599
-0.068,-0.487,1.548,-1.665,1.000,-0.091,3.139,1.281,-0.091,-0.969,-0.046,neutral,1758905250942
-0.054,-0.498,1.483,-1.622,1.000,-0.051,3.139,1.326,-0.051,-0.987,-0.025,neutral,1758905251401
-0.040,-0.375,1.648,-1.573,1.000,-0.002,-3.103,1.301,-0.002,-0.979,-0.001,head_forward,1758905354540
-0.042,-0.387,1.624,-1.572,1.000,-0.001,-3.097,1.296,-0.001,-0.971,-0.000,head_forward,1758905354982
0.217,-0.350,1.495,-1.569,1.000,0.002,3.083,1.598,0.002,-1.010,0.001,head_forward,1758905357966
0.194,-0.370,1.487,-1.583,1.000,-0.013,3.076,1.570,-0.013,-1.016,-0.006,head_forward,1758905358437
0.343,-0.362,1.178,-1.606,1.000,-0.037,3.045,1.704,-0.037,-1.040,-0.018,head_forward,1758905361476
0.326,-0.377,1.233,-1.595,1.000,-0.026,3.052,1.684,-0.026,-1.060,-0.013,head_forward,1758905361922
0.405,-0.279,0.863,-1.496,1.000,0.078,3.112,1.788,0.078,-1.041,0.039,head_forward,1758905364577
0.407,-0.307,0.882,-1.502,1.000,0.072,3.119,1.770,0.072,-1.040,0.036,head_forward,1758905364950
0.437,-0.273,0.522,-1.450,1.000,0.123,3.047,1.945,0.123,-1.019,0.062,head_forward,1758905367754
0.426,-0.284,0.586,-1.447,1.000,0.127,3.098,1.875,0.127,-1.024,0.063,head_forward,1758905368183
0.381,-0.263,0.318,-1.473,1.000,0.099,3.005,1.967,0.099,-1.010,0.049,head_forward,1758905370475
0.493,-0.236,0.229,-1.439,1.000,0.136,2.954,2.123,0.136,-1.023,0.068,head_forward,1758905371010
0.362,-0.222,0.240,-1.598,1.000,-0.028,2.680,2.234,-0.028,-1.031,-0.014,head_forward,1758905373713
0.365,-0.264,0.239,-1.606,1.000,-0.036,2.618,2.286,-0.036,-1.031,-0.018,head_forward,1758905374187
0.344,-0.250,0.008,-1.648,1.000,-0.081,2.166,2.723,-0.081,-1.046,-0.040,head_forward,1758905376028
0.398,-0.203,0.086,-1.603,1.000,-0.033,2.160,2.827,-0.033,-1.018,-0.016,head_forward,1758905376711
-0.354,-0.374,1.168,-1.545,1.000,0.024,-3.030,1.046,0.024,-0.939,0.012,head_forward,1758905382597
-0.359,-0.391,1.190,-1.518,1.000,0.050,-3.038,1.074,0.050,-0.946,0.025,head_forward,1758905383047
-0.276,-0.312,1.375,-1.620,1.000,-0.046,-3.009,1.020,-0.046,-0.939,-0.023,head_forward,1758905386551
-0.296,-0.351,1.251,-1.564,1.000,0.006,-2.945,0.998,0.006,-0.940,0.003,head_forward,1758905386978
-0.396,-0.313,0.712,-1.573,1.000,-0.002,-2.973,0.967,-0.002,-0.958,-0.001,head_forward,1758905390327
-0.395,-0.336,0.704,-1.571,1.000,-0.001,-2.997,1.006,-0.001,-0.966,-0.000,head_forward,1758905390747
-0.406,-0.169,0.211,-1.678,1.000,-0.107,-2.988,0.941,-0.107,-0.988,-0.053,head_forward,1758905393475
-0.393,-0.192,0.279,-1.679,1.000,-0.108,-2.924,0.892,-0.108,-0.989,-0.054,head_forward,1758905393910
-0.418,-0.137,0.006,-1.732,1.000,-0.158,-2.645,0.564,-0.158,-0.967,-0.079,head_forward,1758905396235
-0.416,-0.169,0.078,-1.749,1.000,-0.173,-2.698,0.613,-0.173,-0.963,-0.087,head_forward,1758905396715
-0.511,-0.227,0.001,-1.696,1.000,-0.123,-2.375,0.302,-0.123,-0.971,-0.061,head_forward,1758905398713
-0.515,-0.215,0.052,-1.710,1.000,-0.136,-2.372,0.287,-0.136,-0.976,-0.068,head_forward,1758905399190
-0.386,-0.107,0.077,-1.594,1.000,-0.023,-2.162,0.225,-0.023,-0.982,-0.012,head_forward,1758905401959
-0.375,-0.116,0.111,-1.611,1.000,-0.040,-1.377,0.544,-0.040,-0.986,-0.020,head_forward,1758905402402
-0.378,-0.083,0.326,-1.827,1.000,-0.247,-0.488,1.560,-0.247,-0.941,-0.123,head_forward,1758905404948
-0.370,-0.090,0.386,-1.836,1.000,-0.255,-0.414,1.624,-0.255,-0.937,-0.127,head_forward,1758905405368
-0.335,-0.129,0.492,-1.775,1.000,-0.196,-0.343,1.598,-0.196,-0.948,-0.098,head_forward,1758905410204
-0.322,-0.134,0.549,-1.793,1.000,-0.214,-0.338,1.593,-0.214,-0.945,-0.107,head_forward,1758905410596
-0.296,-0.131,0.740,-1.820,1.000,-0.241,-0.296,1.622,-0.241,-0.946,-0.121,head_forward,1758905416574
-0.302,-0.131,0.717,-1.808,1.000,-0.225,-0.335,1.588,-0.225,-0.931,-0.113,head_forward,1758905417011
0.268,-0.324,0.484,-1.608,1.000,-0.038,2.517,2.320,-0.038,-1.027,-0.019,slouched,1758905733459
0.396,-0.242,0.118,-1.524,1.000,0.047,2.528,2.488,0.047,-1.014,0.024,slouched,1758905734887
0.392,-0.190,0.169,-1.447,1.000,0.126,2.564,2.511,0.126,-1.009,0.063,slouched,1758905736109
0.403,-0.094,0.122,-1.348,1.000,0.226,2.394,2.817,0.226,-1.000,0.113,slouched,1758905737257
0.534,0.059,0.225,-1.034,1.000,0.514,2.426,3.076,0.514,-0.863,0.257,slouched,1758905738462
0.505,0.149,0.222,-0.869,1.000,0.649,2.511,2.993,0.649,-0.767,0.324,slouched,1758905739532
0.498,0.321,0.103,-0.735,1.000,0.754,2.018,2.272,0.754,-0.681,0.377,slouched,1758905740489
0.385,0.331,0.237,-0.485,1.000,0.893,2.364,2.444,0.893,-0.471,0.447,slouched,1758905741935
0.439,-0.158,0.488,-1.257,1.000,0.311,1.034,1.967,0.311,-0.956,0.155,slouched,1758905746648
0.524,-0.080,0.485,-1.171,1.000,0.382,1.463,2.251,0.382,-0.905,0.191,slouched,1758905747675
0.538,-0.001,0.459,-0.936,1.000,0.585,1.350,1.918,0.585,-0.795,0.293,slouched,1758905748741
0.527,0.049,0.373,-0.869,1.000,0.649,1.885,2.404,0.649,-0.768,0.325,slouched,1758905749687
